NAME,MB,MAE,RMSE,R2,STD_X,STD_Y,MEAN_X,MEAN_Y
North Coast,-17415852848287.0,128247355274773.5,161183970993216.16,-0.5287721266218091,130361837416462.9,132864793918486.06,898180366231804.1,880764513383517.1
Northeast Plateau,26846860107256.625,110093777373345.3,141483621342930.56,-0.07750560602668655,136300170178695.4,113097712978100.5,917797497054679.1,944644357161935.8
Sacramento Valley,-55297705199716.0,222568480261482.4,301646841774837.75,0.6090115698026403,482410586117476.44,332253024742741.44,1568938113643592.8,1513640408443876.8
Mountain Counties,188633986866088.25,232328898725999.97,303961606726849.0,0.3679170015651422,382324101898546.5,412384536483029.0,1233510981271318.0,1422144968137406.2
Lake County,-282345351995810.9,335687991526571.3,509268045131271.94,-0.4444743320845732,423732243055197.3,24059990841768.145,1317195861138518.0,1034850509142707.1
Lake Tahoe,230223167865586.12,230223167865586.1,239026837550487.06,-5.851372403839554,91318312733018.86,63078839970050.02,967042215568136.9,1197265383433723.0
Great Basin Valleys,-15754765819890.875,117619417135968.6,144632422478879.84,0.47009508991240667,198685735562742.75,203185490058584.28,982201045247096.8,966446279427205.9
San Joaquin Valley,13804928573492.25,237705872576666.8,311672985097538.6,0.7033013608816114,572191475456655.2,473030436500175.94,1715170949790042.0,1728975878363534.2
North Central Coast,-135177904543903.12,188741423456134.8,250061182455357.66,0.21897419719347377,282952535219449.2,214611698057480.56,1238314430475023.2,1103136525931120.1
Mojave Desert,77560547663099.25,190829182198624.78,403101392970842.4,-0.5997719144145683,318702349319459.7,580357996767586.9,1353509955374054.0,1431070503037153.2
South Central Coast,59243772224122.5,197327745842246.84,494069090560993.75,-0.8498314257029673,363263370586760.06,726010394216397.9,1261708219634116.8,1320951991858239.2
Salton Sea,-130901622156366.75,187371866065749.66,285998928737603.6,0.16923809718059413,313780622465024.25,129722951950954.3,1442253201610601.2,1311351579454234.5
San Francisco Bay,-372091429188835.75,469108334697141.94,677814157914567.9,0.3632060639318945,849397887221117.2,707889010700053.8,2333091349418250.5,1960999920229414.8
South Coast,1127330934424900.5,1549905955098771.2,2238489858203479.0,-0.08724013920397411,2146803982878014.5,2860896145341026.0,3569145926306895.5,4696476860731796.0
San Diego County,179560512952877.75,262358369000266.47,344135563089862.5,0.5068166486273175,490033026961570.25,467093558125202.9,1577089962230026.8,1756650475182904.5
